txid,timestamp,my_address,other_address,direction,amount_sat,fee_sat,internal,datetime,signed_amount
9f4ee13be6117ffcbfaddb85063e5b198f49bfd9ba3d11651fc2234353954930,1527317960,1AqvtQfVXtNw44Jshs4nmty8ByR3q4Uis1,35YWfb9KV2yfJ7rRmK4apbcqXVbnxUuMPz,IN,2269500,0,False,2018-05-26 06:59:20+00:00,2269500
632b0790574a1f469e41f389a36ad7f16dec4705a5f9cc98cc170425078e799f,1527408936,1HQWgexC7u35a6m3cxBNRwqQ7vkwdnA1HE,34yjiXVAna9CgNJws6wAeAz1QrwXgT2S2N,OUT,2018700,587,False,2018-05-27 08:15:36+00:00,-2019287
632b0790574a1f469e41f389a36ad7f16dec4705a5f9cc98cc170425078e799f,1527408936,1HQWgexC7u35a6m3cxBNRwqQ7vkwdnA1HE,bc1qe5jln97p8vhupk9g0quh58zfxn35ygnh2mmn57,OUT,10000000,587,True,2018-05-27 08:15:36+00:00,-10000000
632b0790574a1f469e41f389a36ad7f16dec4705a5f9cc98cc170425078e799f,1527408936,1KCA9uHbxgazEAwZij9WU6tzPphVsPQoF1,bc1qe5jln97p8vhupk9g0quh58zfxn35ygnh2mmn57,OUT,10000000,587,True,2018-05-27 08:15:36+00:00,0
632b0790574a1f469e41f389a36ad7f16dec4705a5f9cc98cc170425078e799f,1527408936,1KCA9uHbxgazEAwZij9WU6tzPphVsPQoF1,34yjiXVAna9CgNJws6wAeAz1QrwXgT2S2N,OUT,2018700,587,False,2018-05-27 08:15:36+00:00,0
632b0790574a1f469e41f389a36ad7f16dec4705a5f9cc98cc170425078e799f,1527408936,1AqvtQfVXtNw44Jshs4nmty8ByR3q4Uis1,34yjiXVAna9CgNJws6wAeAz1QrwXgT2S2N,OUT,2018700,587,False,2018-05-27 08:15:36+00:00,0
632b0790574a1f469e41f389a36ad7f16dec4705a5f9cc98cc170425078e799f,1527408936,bc1qe5jln97p8vhupk9g0quh58zfxn35ygnh2mmn57,1KCA9uHbxgazEAwZij9WU6tzPphVsPQoF1,IN,10000000,0,True,2018-05-27 08:15:36+00:00,10000000
632b0790574a1f469e41f389a36ad7f16dec4705a5f9cc98cc170425078e799f,1527408936,1AqvtQfVXtNw44Jshs4nmty8ByR3q4Uis1,bc1qe5jln97p8vhupk9g0quh58zfxn35ygnh2mmn57,OUT,10000000,587,True,2018-05-27 08:15:36+00:00,0
cbf07c0dcad9a429bf372df4ebaea185ed507aa55274929bd80d30eafad093aa,1532167571,1EaRTktYtBy4MCUHZf5Mazjj7VPPaEuKBk,37Ae4q6QCQiEm6zZsJBtKpqDshPV1vkmZd,IN,1000000,0,False,2018-07-21 10:06:11+00:00,1000000
e7427ce036c39ad463aa5fb2d680fbd0376cefea64f25a223376c39b6886b2c9,1535214086,12U6mtUKsBdqx9PxLBrNS4ajgsJJFcEMr4,1NJEqWEX61oQEUFKPcXdeWvxz34iVj1bW7,IN,482000,0,False,2018-08-25 16:21:26+00:00,482000
1a50cd9ad7b8d29f5efda0c61f024e8fb68f9633e98183a99849384d7bd88b7b,1535216261,1HUzgTzyZSgbvspHP1xx58hCrj6KPXNwtj,bc1qyrx4k0a463x078h5rxhdxdw7tfm749lpdkdtp5,IN,489611,0,False,2018-08-25 16:57:41+00:00,489611
99f5568641c96e3ca3a714357d8d94522ecb9e1990e4862b8f686f2f68beb715,1535219221,bc1qkjajl7xnr74nradyewsg025hnhdp5pnft3nlru,bc1q3wk06pk7nz697tvqxrg5kmu38wvyxwteuqrcqq,IN,493000,0,False,2018-08-25 17:47:01+00:00,493000
abbcaa592155f125c4c3be0d0b29310f942cfd34fa309b39e7d6d9ed45deba4f,1535268845,158kxRdraE4yqBPVt5A6Ybw8xNxypWphbd,3Dy1xqwoEj8mfDSyeM3HkTdn3pvusLaKgU,IN,10067155,0,False,2018-08-26 07:34:05+00:00,10067155
a4f5b0f1d7306f734a6a2bb417db3fa08c1926bc4f416c77e7e3c2f672fc7b5e,1536011987,1EaRTktYtBy4MCUHZf5Mazjj7VPPaEuKBk,31zUbuT26HrAej3vXoVSytwvq19cYtyNf4,IN,815392,0,False,2018-09-03 21:59:47+00:00,815392
d7d1a550fff2864d96a471f51981ef5cd29867ab162008ac24e0ad821cb234b1,1536857855,16yAQbC12MspFHN8kqvQrMBi3wPoqSAh56,3M1BuDXvxH9y8dr8yCbAsrLJPx9Lix914j,IN,3126130,0,False,2018-09-13 16:57:35+00:00,3126130
5d4154ac003c15058ef4786daeb1000a6f42c7e89a4f563929d38b288b922fa4,1537381479,1CXrREtFy9z6LppYBjwUamfHwYBdwnxD26,14dxe2EvKhhArWm3fUfZjusRquMj7eSomi,IN,3326329,0,False,2018-09-19 18:24:39+00:00,3326329
fd5aef948fbe63dcb03af963a63d37979960a428fb1bb502add418038079a291,1537383442,1CXrREtFy9z6LppYBjwUamfHwYBdwnxD26,1Pb97iL4ae56Y2od47mptVpMWqssV8B2mx,IN,5348361,0,False,2018-09-19 18:57:22+00:00,5348361
af1c900fa162b28700a67b97127cdf432578f21624397c5fff29777af26dc874,1542537486,1N3KGpqTC1r1PDRe1sxQZofLrnzBMz3RCB,3CoXin6N7hTb4wKKKScHHSdiyDxLR9HqAF,IN,6747639,0,False,2018-11-18 10:38:06+00:00,6747639
fe8f475c91d6f691174c54920cc3df12d0b92f062a4774e29f80221f678a7ecf,1557859274,1bhsBpxqxXrbuXyXmeg34sUw9YywFeVJb,3P61TpMjrzBoMXAczzUqHqukScnRNmhHmd,IN,13511582,0,False,2019-05-14 18:41:14+00:00,13511582
c942d2634c733143cb30cf1b17886189ee9df0105c1b3d9b93ae6c7b34182926,1560711086,1zAitkTvph4np2AbfsRZTCzBD2MkiqdJo,3M2YdjMDKD9V8vJkfpeofpYvvURmFrZezC,IN,5607194,0,False,2019-06-16 18:51:26+00:00,5607194
